course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
COMP204,Digital Design and Computer Organization,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,13
DATA132,Data Visualization and Storytelling,3.0,DATA103,recorded,2026,semester_excel,Sem_Spread_DS_2026,13
COMP203,Analysis of Algorithms,4.0,COMP201,recorded,2026,semester_excel,Sem_Spread_DS_2026,13
COMP208,Networks,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,13
COMP209,Databases Management,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,14
COMP301,Artificial Intelligence,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,14
COMP302,Internet of Things,2.0,"COMP132, COMP201, COMP206, COMP208, COMP301",recorded,2026,semester_excel,Sem_Spread_DS_2026,14
COMP205,Object Oriented Programming,3.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,15
DATA209,Advanced Exploratory Data Analysis,4.0,"DATA132, MATH203",recorded,2026,semester_excel,Sem_Spread_DS_2026,16
MATH301,Optimization Techniques for Data Science,4.0,MATH201,recorded,2026,semester_excel,Sem_Spread_DS_2026,16
DATA301,Machine Learning,4.0,"DATA206, MATH301",recorded,2026,semester_excel,Sem_Spread_DS_2026,16
DATA302,Deep Learning,4.0,DATA301,recorded,2026,semester_excel,Sem_Spread_DS_2026,16
DATA403,Natural Language Processing,4.0,DATA302,recorded,2026,semester_excel,Sem_Spread_DS_2026,16
MGMT101,Essentials of Business Management,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,21
DATA802,Inter-Desciplinary Project,4.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,21
PSYC105/ECON106,Introduction to Psychology/Principles of Economics,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,22
DATA801,Summer Training/Internship,2.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,23
DATA803,Capstone Project/ Industrial Internship,12.0,Nil,explicit_none,2026,semester_excel,Sem_Spread_DS_2026,23
LAWM305,Regulating platform and Gig workers,4.0,Nil,explicit_none,2023,minor_excel,Law Minor,3
LAWE200,Moral Philosophy and Justice,2.0,Nil,explicit_none,2023,minor_excel,Law Minor,4
LAWC410,Introduction to Alternative Dispute Resolution Methods,3.0,Nil,explicit_none,2023,minor_excel,Law Minor,5
LAWB210,Criminology and Victimology,4.0,Nil,explicit_none,2023,minor_excel,Law Minor,6
LAWM306,Law Relating to start-ups,4.0,Nil,explicit_none,2023,minor_excel,Law Minor,7
LAWE301,Intellectual Property Rights,2.0,Nil,explicit_none,2023,minor_excel,Law Minor,8
LAWP100,Political Science I,3.0,Nil,explicit_none,2024,minor_excel,Law Minor,11
LAWS301,Legal Methods,3.0,Nil,explicit_none,2024,minor_excel,Law Minor,12
LAWM301,Constitution for Citizens,4.0,Nil,explicit_none,2024,minor_excel,Law Minor,13
LAWM302,Basics of International Law,4.0,Nil,explicit_none,2024,minor_excel,Law Minor,14
LAWS301,Legal Methods,3.0,Nil,explicit_none,2025,minor_excel,Law Minor,17
LAWP101,Introduction to Political science,4.0,Nil,explicit_none,2025,minor_excel,Law Minor,18
CDES105,Appreciating and Deconstructing Art and Media,3.0,Nil,explicit_none,2022,minor_excel,Design Minor,2
CDES203,Motion Graphic Design,2.0,Nil,explicit_none,2022,minor_excel,Design Minor,3
CDES504,Environment Design and Communication,2.0,Nil,explicit_none,2022,minor_excel,Design Minor,4
CDES704,Integrative Studio VI- Exhibition/Museum,4.0,Nil,explicit_none,2022,minor_excel,Design Minor,5
CDES402,Interaction Design- UI UX,4.0,Nil,explicit_none,2022,minor_excel,Design Minor,6
CDES216,Drawing and Moving Images,2.0,Nil,explicit_none,2022,minor_excel,Design Minor,7
CDES712,Designing Futures,3.0,"(CDES402-Interaction Design- UI UX), (CDES504- Environment Design and Communication)",recorded,2022,minor_excel,Design Minor,8
CDES105,Appreciating and Deconstructing Art and Media,3.0,Nil,explicit_none,2023,minor_excel,Design Minor,11
CDES702,"Integrative Studio II- Sensemaking, Visualization",4.0,Nil,explicit_none,2023,minor_excel,Design Minor,12
CDES221,Information Architecture and Design,4.0,Nil,explicit_none,2023,minor_excel,Design Minor,13
